frame_idx,target_id,ts,daytime,lat,lon,x,y,w,h,clr,clr_score,cls,cls_score,lvl
2740,166,1594070297.4704392,00:18:17,32.873220878163366,35.2791950159127,0.4591751657426357,0.7566738128662109,0.005859375,0.028947368264198303,4,0.35501033067703247,3,0.9874346852302551,2
2749,175,1594070298.242884,00:18:18,32.873302903596546,35.279062861046974,0.44029179215431213,0.8377100825309753,0.0078125,0.018421052023768425,4,0.6338474154472351,2,0.9398133754730225,2
2771,166,1594070299.7978997,00:18:19,32.8732081628051,35.279174772189485,0.44189155101776123,0.7527945339679718,0.005859375,0.028947368264198303,4,0.35501033067703247,3,0.9874346852302551,2
2785,175,1594070301.9141614,00:18:21,32.87329255339267,35.27904288584291,0.4194517955183983,0.8341161906719208,0.0078125,0.018421052023768425,4,0.6338474154472351,2,0.9398133754730225,2
2787,179,1594070303.9926503,00:18:23,32.87261087141643,35.279438675478815,0.6203807666897774,0.4543330557644367,0.01953125,0.01315789483487606,5,0.5142953991889954,2,0.9921924471855164,2
2794,166,1594070305.5182812,00:18:25,32.87318355472042,35.27914970894937,0.43842004239559174,0.751621812582016,0.005859375,0.028947368264198303,4,0.35501033067703247,3,0.9874346852302551,2
2817,175,1594070306.6882856,00:18:26,32.87325633297386,35.27901603077764,0.41824012249708176,0.8343120515346527,0.0078125,0.018421052023768425,4,0.6338474154472351,2,0.9398133754730225,2
2818,181,1594070308.0072556,00:18:28,32.87327317450603,35.27908722071736,0.398626871407032,0.8039496541023254,0.005859375,0.028947368264198303,4,0.39063963294029236,3,0.9420427680015564,2
2831,183,1594070308.9474723,00:18:28,32.87336534929608,35.278911404594616,0.38453561812639236,0.9122439324855804,0.005859375,0.015789473429322243,4,0.7679991126060486,2,0.9522978663444519,2
2832,179,1594070310.2593439,00:18:30,32.872600431629415,35.27939745907823,0.6113065481185913,0.46992843598127365,0.01953125,0.01315789483487606,5,0.5142953991889954,2,0.9921924471855164,2
2867,181,1594070311.4472916,00:18:31,32.87330657016484,35.27899183472849,0.373931348323822,0.9108460247516632,0.005859375,0.028947368264198303,4,0.4239502251148224,3,0.9874229431152344,2
